Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SALARY
146,PJ Dozier,SG,25,DEN,18,0,18.9,2,5.5,0.364,0.8,2.7,0.313,1.2,2.8,0.412,0.439,0.6,0.7,0.769,0.8,2.7,3.5,1.6,0.6,0.3,0.7,1.8,5.4,1910860
1,Precious Achiuwa,C,22,TOR,42,22,24.1,3.3,7.7,0.425,0.4,1.2,0.308,2.9,6.4,0.448,0.45,0.9,1.6,0.545,2.3,5,7.2,1.2,0.5,0.6,1,2.1,7.8,2711280
205,Quentin Grimes,SG,21,NYK,35,2,15.9,2,4.9,0.407,1.5,3.9,0.382,0.5,1,0.5,0.558,0.2,0.3,0.727,0.5,1.3,1.7,0.9,0.7,0.2,0.6,1.3,5.7,2168760
210,R.J. Hampton,SG,20,ORL,42,1,19.4,2.5,6.7,0.382,0.9,2.5,0.364,1.6,4.1,0.393,0.452,1.1,1.9,0.608,0.3,2.6,2.9,2.4,0.7,0.2,1.3,1.5,7.2,2303040
399,Raul Neto,PG,29,WAS,43,0,19.6,2.9,6.5,0.446,0.4,1.7,0.236,2.5,4.8,0.519,0.477,1.1,1.5,0.723,0.2,1.8,2,2.6,0.7,0,1.2,1.5,7.3,2089448
82,Reggie Bullock,SF,30,DAL,46,15,24.7,2.7,6.7,0.41,1.8,5,0.353,1,1.6,0.587,0.544,0.6,0.7,0.844,0.4,3,3.4,1,0.5,0.1,0.5,1.3,7.8,9536000
266,Reggie Jackson,SG,31,LAC,51,51,30.6,6.2,15.8,0.394,2.4,7.2,0.33,3.8,8.6,0.449,0.47,1.8,2.1,0.857,0.5,2.9,3.4,4.1,0.7,0.1,2.1,2,16.6,10384500
434,Reggie Perry,PF,21,TOT,3,0,17,1.7,3.3,0.5,0.3,0.7,0.5,1.3,2.7,0.5,0.55,0.7,0.7,1,0.7,2,2.7,0.7,0.3,0,0.3,3,4.3,NA
434,Reggie Perry,PF,21,POR,2,0,20.5,2,4.5,0.444,0.5,1,0.5,1.5,3.5,0.429,0.5,1,1,1,1,2.5,3.5,1,0.5,0,0.5,3,5.5,NA
434,Reggie Perry,PF,21,IND,1,0,10,1,1,1,0,0,,1,1,1,1,0,0,,0,1,1,0,0,0,0,3,2,NA
241,Richaun Holmes,C,28,SAC,37,37,25.7,5,7.3,0.683,0.1,0.1,0.4,4.9,7.2,0.688,0.686,1.8,2.3,0.765,2.3,5.6,7.9,1.2,0.4,1,1.3,3,11.8,10384500
32,RJ Barrett,SF,21,NYK,46,46,32.8,6.3,15.2,0.416,2,5.6,0.353,4.3,9.6,0.454,0.481,3.2,4.7,0.693,0.8,4.9,5.7,2.5,0.6,0.3,2,2,17.9,8623920
397,RJ Nembhard Jr.,SG,22,CLE,7,0,6.3,0.7,1.6,0.455,0,0.1,0,0.7,1.4,0.5,0.455,0.1,0.3,0.5,0,0.3,0.3,1.4,0,0,0.3,0.3,1.6,NA
155,Rob Edwards,SG,25,OKC,2,0,5.5,0.5,2,0.25,0.5,2,0.25,0,0,,0.375,0,0,,0,1.5,1.5,0,0,0,0.5,0,1.5,NA
117,Robert Covington,PF-SF,31,TOT,49,40,29.7,2.7,7,0.385,1.7,4.8,0.347,1,2.2,0.467,0.504,0.7,0.8,0.842,0.9,4.8,5.7,1.4,1.5,1.3,1.2,2.8,7.7,12975471
117,Robert Covington,PF,31,POR,48,40,29.8,2.7,7,0.381,1.6,4.8,0.343,1,2.2,0.462,0.499,0.6,0.8,0.833,0.9,4.9,5.7,1.4,1.5,1.3,1.2,2.8,7.6,12975471
117,Robert Covington,SF,31,LAC,1,0,23,4,7,0.571,3,6,0.5,1,1,1,0.786,2,2,1,2,2,4,0,1,0,2,3,13,12975471
330,Robin Lopez,C,33,ORL,24,9,17.8,3.7,6.3,0.579,0,0.2,0.25,3.6,6.2,0.588,0.582,0.8,1.3,0.594,2.1,1.5,3.7,1.8,0,0.5,1.3,2,8.2,5000000
242,Rodney Hood,SF,29,MIL,39,0,14.9,1.2,3.4,0.351,0.6,2.1,0.3,0.6,1.3,0.431,0.443,0.3,0.4,0.929,0.3,1.4,1.7,0.8,0.3,0.1,0.2,0.7,3.3,2239544
361,Rodney McGruder,SG,30,DET,28,1,13.3,1.6,3.7,0.437,0.9,2.2,0.393,0.8,1.5,0.5,0.553,0.4,0.5,0.714,0.6,1.5,2,0.8,0.4,0.1,0.4,1,4.4,1939350
316,Romeo Langford,SG,22,BOS,43,5,16.7,1.8,4.3,0.432,0.7,1.9,0.354,1.2,2.3,0.495,0.511,0.5,0.7,0.625,0.7,1.7,2.4,0.4,0.5,0.4,0.3,1,4.8,3804360
410,Royce O'Neale,SF,28,UTA,49,49,31.4,2.7,5.4,0.494,1.4,3.6,0.406,1.2,1.9,0.663,0.627,0.7,0.9,0.786,0.8,4.2,5,2.5,1.3,0.5,0.9,2.4,7.5,8678571
182,Rudy Gay,PF,35,UTA,35,1,20,3.1,7.3,0.418,1.4,4.1,0.34,1.7,3.2,0.518,0.514,1.4,1.8,0.79,1,3.6,4.6,1.1,0.6,0.3,0.9,1.9,8.9,5890000
189,Rudy Gobert,C,29,UTA,42,42,32.5,5.6,8,0.707,0,0,0,5.6,7.9,0.712,0.707,4.7,6.8,0.69,3.7,11.4,15.1,1.2,0.8,2.3,1.8,2.7,16,35344828
207,Rui Hachimura,PF,23,WAS,13,0,17.2,2.8,6.5,0.44,0.7,2,0.346,2.2,4.5,0.483,0.494,1.2,1.5,0.75,0.3,3.4,3.7,0.9,0.2,0.2,0.6,0.9,7.5,4916160
320,Saben Lee,PG,22,DET,27,0,14.9,1.7,4.5,0.38,0.4,1.6,0.273,1.3,2.9,0.442,0.43,1.2,1.6,0.767,0.4,2.1,2.4,2.4,0.9,0.4,0.9,0.9,5.1,1489065
46,Saddiq Bey,SF,22,DET,53,53,33.5,5.4,14,0.386,2.5,7.4,0.341,2.9,6.7,0.435,0.475,2.4,2.9,0.827,1.4,4.4,5.8,2.7,0.9,0.2,1.3,1.7,15.8,2824320
130,Sam Dekker,PF,27,TOR,1,0,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,350000
223,Sam Hauser,SF,24,BOS,10,0,4.1,0.4,1.4,0.286,0.4,1.4,0.286,0,0,,0.429,0,0,,0.1,0.5,0.6,0.1,0.1,0.1,0,0.4,1.2,NA
367,Sam Merrill,SG,25,MEM,6,0,9.7,1.3,4,0.333,1.2,3.8,0.304,0.2,0.2,1,0.479,0.3,0.7,0.5,0.2,1,1.2,0.7,0,0,0.3,0.5,4.2,663024
337,Sandro Mamukelashvili,PF,22,MIL,29,2,10.1,1.2,2.8,0.439,0.5,1.3,0.385,0.7,1.5,0.488,0.53,0.3,0.4,0.75,0.9,1,1.9,0.6,0.2,0.2,0.3,0.6,3.3,NA
4,Santi Aldama,PF,21,MEM,27,0,10.3,1.4,3.6,0.381,0.1,1.4,0.103,1.2,2.1,0.569,0.402,0.4,0.7,0.6,0.9,1.5,2.4,0.5,0.1,0.3,0.3,1,3.3,1994520
31,Scottie Barnes,PF,20,TOR,43,43,36.2,5.9,12.4,0.474,0.9,2.7,0.316,5,9.7,0.518,0.508,2.1,2.9,0.722,2.7,5.1,7.8,3.4,1,0.9,2,2.8,14.7,7280520
324,Scottie Lewis,SG,21,CHO,2,0,3.5,0,0,,0,0,,0,0,,,0.5,1,0.5,0,0,0,0.5,0.5,0,0,0,0.5,NA
243,Scotty Hopson,SG,32,OKC,1,0,18,2,4,0.5,0,1,0,2,3,0.667,0.5,0,0,,0,1,1,1,0,0,2,1,4,NA
144,Sekou Doumbouya,PF,21,LAL,2,0,8,2.5,4,0.625,0.5,1,0.5,2,3,0.667,0.688,1.5,2,0.75,1,2,3,0,1.5,1,1,0.5,7,0
411,Semi Ojeleye,PF,27,MIL,20,0,15.4,0.9,3.5,0.257,0.6,2.1,0.268,0.4,1.5,0.241,0.336,0.5,0.7,0.769,1.3,1.7,2.9,0.3,0.3,0.3,0.3,1.3,2.9,1789256
255,Serge Ibaka,C,32,LAC,35,10,15.4,2.7,5.5,0.49,0.7,1.8,0.387,2,3.7,0.538,0.552,0.6,0.8,0.69,1.1,3.1,4.3,1,0.2,0.7,0.9,1.6,6.6,9742000
123,Seth Curry,SG,31,PHI,44,44,35,5.8,11.8,0.491,2.3,5.5,0.406,3.5,6.3,0.567,0.587,1.5,1.7,0.877,0.4,3,3.3,4.1,0.8,0.2,1.9,2.2,15.3,8186047
186,Shai Gilgeous-Alexander,PG,23,OKC,43,43,34.6,7.8,18.3,0.424,1.6,5.6,0.278,6.2,12.7,0.488,0.466,5.6,6.9,0.811,0.7,4,4.7,5.5,1.1,0.8,2.4,2.3,22.7,5495532
373,Shake Milton,PG,25,PHI,27,6,24.7,4,9.4,0.429,0.9,2.9,0.316,3.1,6.5,0.48,0.478,1.5,1.8,0.854,0.5,2.5,3,2.8,0.7,0.4,1.1,2.1,10.5,1846738
81,Shaq Buchanan,PG,25,MEM,2,0,5,0.5,2,0.25,0,1,0,0.5,1,0.5,0.25,0,0,,0.5,0.5,1,1,0.5,0,1,0.5,1,NA
219,Shaquille Harrison,SG,28,BRK,2,0,11.5,1,3,0.333,0,1,0,1,2,0.5,0.333,0,0,,0.5,1.5,2,1.5,0.5,0.5,1,1.5,2,NA
114,Sharife Cooper,PG,20,ATL,10,0,3.5,0.3,1.4,0.214,0.1,0.6,0.167,0.2,0.8,0.25,0.25,0,0,,0,0.5,0.5,0.5,0,0,0.5,0.1,0.7,NA
351,Skylar Mays,SG,24,ATL,20,5,9.6,1.6,3,0.517,0.4,1.3,0.32,1.2,1.8,0.657,0.583,0.4,0.5,0.889,0.3,1,1.3,0.8,0.4,0,0.4,0.4,3.9,NA
235,Solomon Hill,PF,30,ATL,13,1,10.7,0.2,1.5,0.15,0.2,1,0.154,0.1,0.5,0.143,0.2,0,0,,0.5,1.3,1.8,0.9,0.3,0.2,0.1,1.2,0.6,2389641
137,Spencer Dinwiddie,PG,28,WAS,43,43,30.3,4.3,11.3,0.377,1.6,5.2,0.311,2.6,6.1,0.433,0.449,2.7,3.3,0.811,0.8,3.9,4.7,5.8,0.6,0.2,1.7,2.5,12.8,17142857
281,Stanley Johnson,PF,25,LAL,20,12,22.1,2.3,4.8,0.474,0.7,2.2,0.318,1.6,2.6,0.608,0.547,0.8,1.1,0.727,0.6,2.5,3.1,1.3,0.8,0.5,0.6,2.9,6,888616
124,Stephen Curry,PG,33,GSW,48,48,34.7,8.4,19.9,0.421,4.8,12.5,0.381,3.6,7.4,0.49,0.541,4.4,4.8,0.913,0.6,4.8,5.4,6.3,1.5,0.4,3.3,2,25.9,45780966
77,Sterling Brown,SG,26,DAL,36,3,14.3,1.4,3.6,0.398,0.8,2.2,0.342,0.7,1.4,0.49,0.504,0.3,0.3,0.909,0.6,2.9,3.5,0.8,0.3,0.1,0.6,1.2,3.9,3000000
2,Steven Adams,C,28,MEM,51,50,26.2,2.6,4.9,0.526,0,0,,2.6,4.9,0.526,0.526,1.5,2.6,0.573,4.4,5.1,9.5,3.1,0.9,0.6,1.6,1.8,6.6,17073171
394,Svi Mykhailiuk,SF,24,TOR,39,5,16.5,2.1,5.2,0.404,0.9,2.9,0.31,1.2,2.3,0.522,0.49,0.7,0.8,0.844,0.5,1.7,2.2,1,0.6,0.1,0.7,1.2,5.8,1729217
